cycle_id,machine_id,operation_id,cycle_start_ts,cycle_end_ts,actual_cycle_time_sec,part_result,scrap_reason
CYCLE_0086,DMU50_001,OP_003,2026-03-02 09:02:00+00:00,2026-03-02 09:07:49.996000+00:00,349.996,good,
CYCLE_0087,DMU50_001,OP_001,2026-03-02 09:15:00+00:00,2026-03-02 09:22:44.695000+00:00,464.695,scrap,surface_defect
CYCLE_0088,DMU50_001,OP_003,2026-03-02 09:27:00+00:00,2026-03-02 09:33:21.899000+00:00,381.899,good,
CYCLE_0089,DMU50_001,OP_001,2026-03-02 09:41:00+00:00,2026-03-02 09:48:41.850000+00:00,461.85,good,
CYCLE_0090,DMU50_001,OP_003,2026-03-02 09:56:00+00:00,2026-03-02 10:02:07.687000+00:00,367.687,scrap,surface_defect
CYCLE_0091,DMU50_001,OP_001,2026-03-02 10:09:00+00:00,2026-03-02 10:16:48.140000+00:00,468.14,good,
CYCLE_0092,DMU50_001,OP_001,2026-03-02 10:32:00+00:00,2026-03-02 10:39:54.295000+00:00,474.295,good,
CYCLE_0093,DMU50_001,OP_003,2026-03-02 11:05:00+00:00,2026-03-02 11:11:18.693000+00:00,378.693,scrap,surface_defect
CYCLE_0094,DMU50_001,OP_003,2026-03-02 11:39:00+00:00,2026-03-02 11:44:53.501000+00:00,353.501,good,
CYCLE_0095,DMU50_001,OP_001,2026-03-02 11:48:00+00:00,2026-03-02 11:56:18.583000+00:00,498.583,good,
CYCLE_0096,DMU50_001,OP_003,2026-03-02 12:02:00+00:00,2026-03-02 12:08:24.155000+00:00,384.155,scrap,surface_defect
CYCLE_0097,DMU50_001,OP_001,2026-03-02 12:48:00+00:00,2026-03-02 12:55:54.784000+00:00,474.784,good,
CYCLE_0098,DMU50_001,OP_003,2026-03-02 13:06:00+00:00,2026-03-02 13:12:14.089000+00:00,374.089,good,
CYCLE_0099,DMU50_001,OP_001,2026-03-02 13:21:00+00:00,2026-03-02 13:29:23.695000+00:00,503.695,scrap,surface_defect
CYCLE_0100,DMU50_001,OP_003,2026-03-02 13:33:00+00:00,2026-03-02 13:39:06.134000+00:00,366.134,good,
CYCLE_0101,DMU50_001,OP_002,2026-03-02 13:53:00+00:00,2026-03-02 14:02:06.391000+00:00,546.391,good,
CYCLE_0102,DMU50_001,OP_001,2026-03-02 14:10:00+00:00,2026-03-02 14:17:47.644000+00:00,467.644,scrap,surface_defect
CYCLE_0103,DMU50_001,OP_002,2026-03-02 14:26:00+00:00,2026-03-02 14:34:49.133000+00:00,529.133,good,
CYCLE_0104,DMU50_001,OP_002,2026-03-02 14:59:00+00:00,2026-03-02 15:07:51.052000+00:00,531.052,good,
CYCLE_0105,DMU50_001,OP_001,2026-03-02 15:10:00+00:00,2026-03-02 15:17:42.310000+00:00,462.31,scrap,surface_defect
CYCLE_0106,DMU50_001,OP_002,2026-03-02 15:23:00+00:00,2026-03-02 15:31:59.143000+00:00,539.143,good,
CYCLE_0107,DMU50_001,OP_001,2026-03-02 15:40:00+00:00,2026-03-02 15:48:07.964000+00:00,487.964,good,
CYCLE_0108,DMU50_001,OP_003,2026-03-02 16:03:00+00:00,2026-03-02 16:08:58.700000+00:00,358.7,scrap,surface_defect
CYCLE_0109,DMU50_001,OP_002,2026-03-02 16:28:00+00:00,2026-03-02 16:37:16.114000+00:00,556.114,good,
CYCLE_0110,DMU50_001,OP_001,2026-03-02 16:47:00+00:00,2026-03-02 16:55:24.593000+00:00,504.593,good,
CYCLE_0111,DMU50_001,OP_002,2026-03-02 17:02:00+00:00,2026-03-02 17:11:20.740000+00:00,560.74,scrap,surface_defect
CYCLE_0112,DMU50_001,OP_001,2026-03-02 17:18:00+00:00,2026-03-02 17:26:06.092000+00:00,486.092,good,
CYCLE_0113,DMU50_001,OP_002,2026-03-02 17:35:00+00:00,2026-03-02 17:44:27.422000+00:00,567.422,good,
CYCLE_0114,DMU50_001,OP_001,2026-03-02 17:47:00+00:00,2026-03-02 17:55:25.630000+00:00,505.63,scrap,surface_defect
CYCLE_0115,DMU50_001,OP_002,2026-03-02 18:01:00+00:00,2026-03-02 18:10:26.780000+00:00,566.78,good,
CYCLE_0116,DMU50_001,OP_001,2026-03-02 18:24:00+00:00,2026-03-02 18:32:07.776000+00:00,487.776,good,
CYCLE_0117,DMU50_001,OP_003,2026-03-02 18:38:00+00:00,2026-03-02 18:44:25.310000+00:00,385.31,scrap,surface_defect
CYCLE_0118,DMU50_001,OP_001,2026-03-02 18:55:00+00:00,2026-03-02 19:03:31.201000+00:00,511.201,good,
CYCLE_0119,DMU50_001,OP_003,2026-03-02 19:07:00+00:00,2026-03-02 19:13:01.639000+00:00,361.639,good,
CYCLE_0120,DMU50_001,OP_001,2026-03-02 19:22:00+00:00,2026-03-02 19:30:23.567000+00:00,503.567,scrap,surface_defect
CYCLE_0121,DMU50_001,OP_003,2026-03-02 19:38:00+00:00,2026-03-02 19:43:56.703000+00:00,356.703,good,
CYCLE_0122,DMU50_001,OP_001,2026-03-02 19:53:00+00:00,2026-03-02 20:01:11.600000+00:00,491.6,good,
CYCLE_0123,DMU50_001,OP_003,2026-03-02 20:04:00+00:00,2026-03-02 20:09:45.697000+00:00,345.697,scrap,surface_defect
CYCLE_0124,DMU50_001,OP_001,2026-03-02 20:19:00+00:00,2026-03-02 20:26:58.365000+00:00,478.365,good,
CYCLE_0125,DMU50_001,OP_003,2026-03-02 20:38:00+00:00,2026-03-02 20:44:12.107000+00:00,372.107,good,
CYCLE_0126,DMU50_001,OP_001,2026-03-02 20:49:00+00:00,2026-03-02 20:57:14.911000+00:00,494.911,scrap,surface_defect
CYCLE_0127,DMU50_001,OP_003,2026-03-02 21:07:00+00:00,2026-03-02 21:12:53.667000+00:00,353.667,good,
CYCLE_0128,DMU50_001,OP_001,2026-03-02 21:12:53.667000+00:00,2026-03-02 21:20:42.422000+00:00,468.755,good,
CYCLE_0129,DMU50_001,OP_002,2026-03-02 21:29:00+00:00,2026-03-02 21:37:40.333000+00:00,520.333,scrap,surface_defect
CYCLE_0130,DMU50_001,OP_001,2026-03-02 21:45:00+00:00,2026-03-02 21:53:32.753000+00:00,512.753,good,
CYCLE_0131,DMU50_001,OP_002,2026-03-02 21:57:00+00:00,2026-03-02 22:06:02.506000+00:00,542.506,good,
CYCLE_0132,DMU50_001,OP_001,2026-03-02 22:13:00+00:00,2026-03-02 22:21:13.480000+00:00,493.48,scrap,surface_defect
CYCLE_0133,DMU50_001,OP_003,2026-03-02 22:34:00+00:00,2026-03-02 22:39:58.404000+00:00,358.404,good,
CYCLE_0134,DMU50_001,OP_001,2026-03-02 22:46:00+00:00,2026-03-02 22:53:43.154000+00:00,463.154,good,
CYCLE_0135,DMU50_001,OP_001,2026-03-02 23:15:00+00:00,2026-03-02 23:23:33.330000+00:00,513.33,scrap,surface_defect
CYCLE_0136,DMU50_001,OP_002,2026-03-02 23:31:00+00:00,2026-03-02 23:40:08.082000+00:00,548.082,good,
CYCLE_0137,DMU50_001,OP_001,2026-03-02 23:45:00+00:00,2026-03-02 23:53:08.987000+00:00,488.987,good,
CYCLE_0138,DMU50_001,OP_002,2026-03-02 23:59:00+00:00,2026-03-03 00:07:39.713000+00:00,519.713,scrap,surface_defect
CYCLE_0139,DMU50_001,OP_001,2026-03-03 00:12:00+00:00,2026-03-03 00:20:36.883000+00:00,516.883,good,
CYCLE_0140,DMU50_001,OP_002,2026-03-03 00:27:00+00:00,2026-03-03 00:36:21.197000+00:00,561.197,good,
CYCLE_0141,DMU50_001,OP_001,2026-03-03 00:56:00+00:00,2026-03-03 01:03:49.381000+00:00,469.381,scrap,surface_defect
CYCLE_0142,DMU50_001,OP_003,2026-03-03 01:14:00+00:00,2026-03-03 01:19:47.541000+00:00,347.541,good,
CYCLE_0143,DMU50_001,OP_003,2026-03-03 02:07:00+00:00,2026-03-03 02:12:59.734000+00:00,359.734,good,
CYCLE_0144,DMU50_001,OP_001,2026-03-03 02:19:00+00:00,2026-03-03 02:26:50.875000+00:00,470.875,scrap,surface_defect
CYCLE_0145,DMU50_001,OP_003,2026-03-03 02:29:00+00:00,2026-03-03 02:34:52.751000+00:00,352.751,good,
CYCLE_0146,DMU50_001,OP_001,2026-03-03 02:40:00+00:00,2026-03-03 02:48:37.933000+00:00,517.933,good,
CYCLE_0147,DMU50_001,OP_003,2026-03-03 02:57:00+00:00,2026-03-03 03:03:24.723000+00:00,384.723,scrap,surface_defect
CYCLE_0148,DMU50_001,OP_001,2026-03-03 03:15:00+00:00,2026-03-03 03:23:18.119000+00:00,498.119,good,
CYCLE_0149,DMU50_001,OP_003,2026-03-03 03:32:00+00:00,2026-03-03 03:38:07.012000+00:00,367.012,good,
CYCLE_0150,DMU50_001,OP_001,2026-03-03 03:48:00+00:00,2026-03-03 03:56:11.692000+00:00,491.692,scrap,surface_defect
CYCLE_0151,DMU50_001,OP_003,2026-03-03 04:03:00+00:00,2026-03-03 04:09:21.391000+00:00,381.391,good,
CYCLE_0152,DMU50_001,OP_001,2026-03-03 04:22:00+00:00,2026-03-03 04:30:07.250000+00:00,487.25,good,
CYCLE_0153,DMU50_001,OP_003,2026-03-03 04:34:00+00:00,2026-03-03 04:40:19.746000+00:00,379.746,scrap,surface_defect
CYCLE_0154,DMU50_001,OP_003,2026-03-03 05:09:00+00:00,2026-03-03 05:15:19.116000+00:00,379.116,good,
CYCLE_0155,DMU50_001,OP_002,2026-03-03 05:34:00+00:00,2026-03-03 05:43:12.979000+00:00,552.979,good,
CYCLE_0156,DMU50_001,OP_001,2026-03-03 05:48:00+00:00,2026-03-03 05:56:29.785000+00:00,509.785,scrap,surface_defect
CYCLE_0157,DMU50_001,OP_002,2026-03-03 06:02:00+00:00,2026-03-03 06:10:45.347000+00:00,525.347,good,
CYCLE_0158,DMU50_001,OP_001,2026-03-03 06:16:00+00:00,2026-03-03 06:24:01.398000+00:00,481.398,good,
CYCLE_0159,DMU50_001,OP_002,2026-03-03 06:38:00+00:00,2026-03-03 06:47:10.405000+00:00,550.405,scrap,surface_defect
CYCLE_0160,DMU50_001,OP_001,2026-03-03 07:04:00+00:00,2026-03-03 07:11:41.886000+00:00,461.886,good,
CYCLE_0161,DMU50_001,OP_003,2026-03-03 07:17:00+00:00,2026-03-03 07:23:12.301000+00:00,372.301,good,
CYCLE_0162,DMU50_001,OP_001,2026-03-03 07:29:00+00:00,2026-03-03 07:36:48.325000+00:00,468.325,scrap,surface_defect
CYCLE_0163,DMU50_001,OP_001,2026-03-03 07:54:00+00:00,2026-03-03 08:01:51.612000+00:00,471.612,good,
CYCLE_0164,DMU50_001,OP_002,2026-03-03 08:07:00+00:00,2026-03-03 08:15:59.227000+00:00,539.227,good,
CYCLE_0165,DMU50_001,OP_003,2026-03-03 08:51:00+00:00,2026-03-03 08:56:50.536000+00:00,350.536,scrap,surface_defect
CYCLE_0166,DMU50_001,OP_002,2026-03-03 09:12:00+00:00,2026-03-03 09:20:57.746000+00:00,537.746,good,
CYCLE_0167,DMU50_001,OP_001,2026-03-03 09:31:00+00:00,2026-03-03 09:38:54.927000+00:00,474.927,good,
CYCLE_0168,DMU50_001,OP_002,2026-03-03 09:44:00+00:00,2026-03-03 09:53:05.214000+00:00,545.214,scrap,surface_defect
CYCLE_0169,DMU50_001,OP_001,2026-03-03 10:00:00+00:00,2026-03-03 10:08:29.792000+00:00,509.792,good,
CYCLE_0170,DMU50_001,OP_002,2026-03-03 10:17:00+00:00,2026-03-03 10:26:14.551000+00:00,554.551,good,
CYCLE_0171,DMU50_001,OP_001,2026-03-03 10:32:00+00:00,2026-03-03 10:40:20.048000+00:00,500.048,scrap,surface_defect
CYCLE_0172,DMU50_001,OP_002,2026-03-03 11:26:00+00:00,2026-03-03 11:35:09.600000+00:00,549.6,good,
CYCLE_0173,DMU50_001,OP_001,2026-03-03 11:40:00+00:00,2026-03-03 11:47:45.987000+00:00,465.987,good,
CYCLE_0174,DMU50_001,OP_002,2026-03-03 11:50:00+00:00,2026-03-03 11:59:34.497000+00:00,574.497,scrap,surface_defect
CYCLE_0175,DMU50_001,OP_001,2026-03-03 12:06:00+00:00,2026-03-03 12:14:01.888000+00:00,481.888,good,
CYCLE_0176,DMU50_001,OP_003,2026-03-03 12:32:00+00:00,2026-03-03 12:38:28.353000+00:00,388.353,good,
CYCLE_0177,DMU50_001,OP_001,2026-03-03 12:46:00+00:00,2026-03-03 12:54:01.278000+00:00,481.278,scrap,surface_defect
CYCLE_0178,DMU50_001,OP_003,2026-03-03 12:57:00+00:00,2026-03-03 13:03:27.937000+00:00,387.937,good,
CYCLE_0179,DMU50_001,OP_003,2026-03-03 13:28:00+00:00,2026-03-03 13:33:48.645000+00:00,348.645,good,
CYCLE_0180,DMU50_001,OP_001,2026-03-03 13:46:00+00:00,2026-03-03 13:53:40.894000+00:00,460.894,scrap,surface_defect
CYCLE_0181,DMU50_001,OP_003,2026-03-03 14:00:00+00:00,2026-03-03 14:05:56.416000+00:00,356.416,good,
CYCLE_0182,DMU50_001,OP_003,2026-03-03 14:41:00+00:00,2026-03-03 14:46:46.658000+00:00,346.658,good,
CYCLE_0183,DMU50_001,OP_001,2026-03-03 14:57:00+00:00,2026-03-03 15:05:37.832000+00:00,517.832,scrap,surface_defect
CYCLE_0184,DMU50_001,OP_003,2026-03-03 15:12:00+00:00,2026-03-03 15:17:57.447000+00:00,357.447,good,
CYCLE_0185,DMU50_001,OP_001,2026-03-03 15:27:00+00:00,2026-03-03 15:34:50.039000+00:00,470.039,good,
CYCLE_0186,DMU50_001,OP_003,2026-03-03 15:48:00+00:00,2026-03-03 15:54:18.217000+00:00,378.217,scrap,surface_defect
CYCLE_0187,DMU50_001,OP_001,2026-03-03 16:09:00+00:00,2026-03-03 16:17:12.697000+00:00,492.697,good,
CYCLE_0188,DMU50_001,OP_003,2026-03-03 16:29:00+00:00,2026-03-03 16:34:58.709000+00:00,358.709,good,
CYCLE_0189,DMU50_001,OP_002,2026-03-03 16:52:00+00:00,2026-03-03 17:01:02+00:00,542.0,scrap,surface_defect
CYCLE_0190,DMU50_001,OP_001,2026-03-03 17:11:00+00:00,2026-03-03 17:18:51.781000+00:00,471.781,good,
CYCLE_0191,DMU50_001,OP_002,2026-03-03 17:26:00+00:00,2026-03-03 17:34:43.524000+00:00,523.524,good,
CYCLE_0192,DMU50_001,OP_001,2026-03-03 17:48:00+00:00,2026-03-03 17:55:45.139000+00:00,465.139,scrap,surface_defect
CYCLE_0193,DMU50_001,OP_002,2026-03-03 17:58:00+00:00,2026-03-03 18:07:29.631000+00:00,569.631,good,
CYCLE_0194,DMU50_001,OP_001,2026-03-03 18:12:00+00:00,2026-03-03 18:20:37.321000+00:00,517.321,good,
CYCLE_0195,DMU50_001,OP_002,2026-03-03 18:29:00+00:00,2026-03-03 18:38:28.235000+00:00,568.235,scrap,surface_defect
CYCLE_0196,DMU50_001,OP_001,2026-03-03 18:40:00+00:00,2026-03-03 18:48:33.374000+00:00,513.374,good,
CYCLE_0197,DMU50_001,OP_002,2026-03-03 18:55:00+00:00,2026-03-03 19:04:35.654000+00:00,575.654,good,
CYCLE_0198,DMU50_001,OP_001,2026-03-03 19:11:00+00:00,2026-03-03 19:19:09.412000+00:00,489.412,scrap,surface_defect
CYCLE_0199,DMU50_001,OP_002,2026-03-03 19:25:00+00:00,2026-03-03 19:33:51.536000+00:00,531.536,good,
CYCLE_0200,DMU50_001,OP_001,2026-03-03 19:44:00+00:00,2026-03-03 19:52:37.135000+00:00,517.135,good,
CYCLE_0201,DMU50_001,OP_003,2026-03-03 20:06:00+00:00,2026-03-03 20:11:59.919000+00:00,359.919,scrap,surface_defect
CYCLE_0202,DMU50_001,OP_003,2026-03-03 20:46:00+00:00,2026-03-03 20:52:28.221000+00:00,388.221,good,
CYCLE_0203,DMU50_001,OP_001,2026-03-03 20:59:00+00:00,2026-03-03 21:07:21.116000+00:00,501.116,good,
CYCLE_0204,DMU50_001,OP_003,2026-03-03 21:12:00+00:00,2026-03-03 21:18:22.629000+00:00,382.629,scrap,surface_defect
CYCLE_0205,DMU50_001,OP_001,2026-03-03 21:27:00+00:00,2026-03-03 21:34:46.928000+00:00,466.928,good,
CYCLE_0206,DMU50_001,OP_003,2026-03-03 21:37:00+00:00,2026-03-03 21:43:22.931000+00:00,382.931,good,
