ts,machine_id,power_kw,energy_kwh_cumulative,sample_interval_sec
2026-03-01 06:35:00+00:00,DMU50_001,4.13,1004.81424,60.0
2026-03-01 06:36:00+00:00,DMU50_001,4.124,1004.88297,60.0
2026-03-01 06:37:00+00:00,DMU50_001,4.455,1004.95722,60.0
2026-03-01 06:38:00+00:00,DMU50_001,14.73,1005.20272,60.0
2026-03-01 06:39:00+00:00,DMU50_001,15.334,1005.45829,60.0
2026-03-01 06:40:00+00:00,DMU50_001,15.691,1005.71981,60.0
2026-03-01 06:41:00+00:00,DMU50_001,14.686,1005.96458,60.0
2026-03-01 06:42:00+00:00,DMU50_001,14.976,1006.21418,60.0
2026-03-01 06:43:00+00:00,DMU50_001,15.864,1006.47858,60.0
2026-03-01 06:44:00+00:00,DMU50_001,15.114,1006.73048,60.0
2026-03-01 06:45:00+00:00,DMU50_001,9.149,1006.88296,60.0
2026-03-01 06:46:00+00:00,DMU50_001,8.837,1007.03024,60.0
2026-03-01 06:47:00+00:00,DMU50_001,9.275,1007.18482,60.0
2026-03-01 06:48:00+00:00,DMU50_001,4.192,1007.25469,60.0
2026-03-01 06:49:00+00:00,DMU50_001,3.834,1007.31859,60.0
2026-03-01 06:50:00+00:00,DMU50_001,7.893,1007.45014,60.0
2026-03-01 06:51:00+00:00,DMU50_001,14.408,1007.69027,60.0
2026-03-01 06:52:00+00:00,DMU50_001,15.056,1007.9412,60.0
2026-03-01 06:53:00+00:00,DMU50_001,14.542,1008.18357,60.0
2026-03-01 06:54:00+00:00,DMU50_001,15.239,1008.43755,60.0
2026-03-01 06:55:00+00:00,DMU50_001,15.022,1008.68792,60.0
2026-03-01 06:56:00+00:00,DMU50_001,14.376,1008.92752,60.0
2026-03-01 06:57:00+00:00,DMU50_001,14.754,1009.17342,60.0
2026-03-01 06:58:00+00:00,DMU50_001,15.31,1009.42859,60.0
2026-03-01 06:59:00+00:00,DMU50_001,15.574,1009.68816,60.0
2026-03-01 07:00:00+00:00,DMU50_001,8.639,1009.83214,60.0
2026-03-01 07:01:00+00:00,DMU50_001,8.561,1009.97482,60.0
2026-03-01 07:02:00+00:00,DMU50_001,9.78,1010.13782,60.0
2026-03-01 07:03:00+00:00,DMU50_001,3.498,1010.19612,60.0
2026-03-01 07:04:00+00:00,DMU50_001,3.518,1010.25475,60.0
2026-03-01 07:05:00+00:00,DMU50_001,3.352,1010.31062,60.0
2026-03-01 07:06:00+00:00,DMU50_001,4.243,1010.38134,60.0
2026-03-01 07:07:00+00:00,DMU50_001,4.543,1010.45706,60.0
2026-03-01 07:08:00+00:00,DMU50_001,4.251,1010.52791,60.0
2026-03-01 07:09:00+00:00,DMU50_001,4.413,1010.60146,60.0
2026-03-01 07:10:00+00:00,DMU50_001,15.014,1010.85169,60.0
2026-03-01 07:11:00+00:00,DMU50_001,14.487,1011.09314,60.0
2026-03-01 07:12:00+00:00,DMU50_001,14.658,1011.33744,60.0
2026-03-01 07:13:00+00:00,DMU50_001,14.441,1011.57812,60.0
2026-03-01 07:14:00+00:00,DMU50_001,15.109,1011.82994,60.0
2026-03-01 07:15:00+00:00,DMU50_001,15.612,1012.09014,60.0
2026-03-01 07:16:00+00:00,DMU50_001,9.064,1012.24121,60.0
2026-03-01 07:17:00+00:00,DMU50_001,8.877,1012.38916,60.0
2026-03-01 07:18:00+00:00,DMU50_001,8.684,1012.53389,60.0
2026-03-01 07:19:00+00:00,DMU50_001,8.107,1012.66901,60.0
2026-03-01 07:20:00+00:00,DMU50_001,3.252,1012.72321,60.0
2026-03-01 07:21:00+00:00,DMU50_001,3.273,1012.77776,60.0
2026-03-01 07:22:00+00:00,DMU50_001,3.68,1012.83909,60.0
2026-03-01 07:23:00+00:00,DMU50_001,8.889,1012.98724,60.0
2026-03-01 07:24:00+00:00,DMU50_001,8.881,1013.13526,60.0
2026-03-01 07:25:00+00:00,DMU50_001,8.932,1013.28413,60.0
2026-03-01 07:26:00+00:00,DMU50_001,9.29,1013.43896,60.0
2026-03-01 07:27:00+00:00,DMU50_001,9.066,1013.59006,60.0
2026-03-01 07:28:00+00:00,DMU50_001,8.703,1013.73511,60.0
2026-03-01 07:29:00+00:00,DMU50_001,8.717,1013.88039,60.0
2026-03-01 07:30:00+00:00,DMU50_001,8.922,1014.02909,60.0
2026-03-01 07:31:00+00:00,DMU50_001,8.091,1014.16394,60.0
2026-03-01 07:32:00+00:00,DMU50_001,7.989,1014.29709,60.0
2026-03-01 07:33:00+00:00,DMU50_001,4.175,1014.36667,60.0
2026-03-01 07:34:00+00:00,DMU50_001,4.209,1014.43682,60.0
2026-03-01 07:35:00+00:00,DMU50_001,4.193,1014.5067,60.0
2026-03-01 07:36:00+00:00,DMU50_001,7.766,1014.63613,60.0
2026-03-01 07:37:00+00:00,DMU50_001,4.421,1014.70981,60.0
2026-03-01 07:38:00+00:00,DMU50_001,4.104,1014.77821,60.0
2026-03-01 07:39:00+00:00,DMU50_001,15.065,1015.02929,60.0
2026-03-01 07:40:00+00:00,DMU50_001,13.97,1015.26212,60.0
2026-03-01 07:41:00+00:00,DMU50_001,14.892,1015.51032,60.0
2026-03-01 07:42:00+00:00,DMU50_001,14.45,1015.75115,60.0
2026-03-01 07:43:00+00:00,DMU50_001,14.51,1015.99298,60.0
2026-03-01 07:44:00+00:00,DMU50_001,16.211,1016.26316,60.0
2026-03-01 07:45:00+00:00,DMU50_001,15.125,1016.51524,60.0
2026-03-01 07:46:00+00:00,DMU50_001,15.613,1016.77546,60.0
2026-03-01 07:47:00+00:00,DMU50_001,15.428,1017.03259,60.0
2026-03-01 07:48:00+00:00,DMU50_001,15.492,1017.29079,60.0
2026-03-01 07:49:00+00:00,DMU50_001,8.92,1017.43946,60.0
2026-03-01 07:50:00+00:00,DMU50_001,9.643,1017.60018,60.0
2026-03-01 07:51:00+00:00,DMU50_001,9.339,1017.75583,60.0
2026-03-01 07:52:00+00:00,DMU50_001,9.017,1017.90611,60.0
2026-03-01 07:53:00+00:00,DMU50_001,8.079,1018.04076,60.0
2026-03-01 07:54:00+00:00,DMU50_001,14.932,1018.28963,60.0
2026-03-01 07:55:00+00:00,DMU50_001,15.026,1018.54006,60.0
2026-03-01 07:56:00+00:00,DMU50_001,14.978,1018.78969,60.0
2026-03-01 07:57:00+00:00,DMU50_001,15.191,1019.04287,60.0
2026-03-01 07:58:00+00:00,DMU50_001,15.87,1019.30737,60.0
2026-03-01 07:59:00+00:00,DMU50_001,14.397,1019.54732,60.0
2026-03-01 08:00:00+00:00,DMU50_001,15.571,1019.80684,60.0
2026-03-01 08:01:00+00:00,DMU50_001,14.816,1020.05377,60.0
2026-03-01 08:02:00+00:00,DMU50_001,15.635,1020.31435,60.0
2026-03-01 08:03:00+00:00,DMU50_001,8.867,1020.46213,60.0
2026-03-01 08:04:00+00:00,DMU50_001,9.165,1020.61488,60.0
2026-03-01 08:05:00+00:00,DMU50_001,8.936,1020.76381,60.0
2026-03-01 08:06:00+00:00,DMU50_001,8.308,1020.90228,60.0
2026-03-01 08:07:00+00:00,DMU50_001,4.548,1020.97808,60.0
2026-03-01 08:08:00+00:00,DMU50_001,4.011,1021.04493,60.0
2026-03-01 08:09:00+00:00,DMU50_001,8.025,1021.17868,60.0
2026-03-01 08:10:00+00:00,DMU50_001,3.99,1021.24518,60.0
2026-03-01 08:11:00+00:00,DMU50_001,3.933,1021.31073,60.0
2026-03-01 08:12:00+00:00,DMU50_001,4.159,1021.38005,60.0
2026-03-01 08:13:00+00:00,DMU50_001,4.081,1021.44807,60.0
2026-03-01 08:14:00+00:00,DMU50_001,14.416,1021.68834,60.0
2026-03-01 08:15:00+00:00,DMU50_001,14.982,1021.93804,60.0
2026-03-01 08:16:00+00:00,DMU50_001,14.259,1022.17569,60.0
2026-03-01 08:17:00+00:00,DMU50_001,15.063,1022.42674,60.0
2026-03-01 08:18:00+00:00,DMU50_001,14.936,1022.67567,60.0
2026-03-01 08:19:00+00:00,DMU50_001,13.76,1022.905,60.0
2026-03-01 08:20:00+00:00,DMU50_001,14.738,1023.15063,60.0
2026-03-01 08:21:00+00:00,DMU50_001,15.234,1023.40453,60.0
2026-03-01 08:22:00+00:00,DMU50_001,14.468,1023.64566,60.0
2026-03-01 08:23:00+00:00,DMU50_001,9.205,1023.79908,60.0
2026-03-01 08:24:00+00:00,DMU50_001,8.13,1023.93458,60.0
2026-03-01 08:25:00+00:00,DMU50_001,7.695,1024.06283,60.0
2026-03-01 08:26:00+00:00,DMU50_001,14.994,1024.31273,60.0
2026-03-01 08:27:00+00:00,DMU50_001,15.412,1024.5696,60.0
2026-03-01 08:28:00+00:00,DMU50_001,14.562,1024.8123,60.0
2026-03-01 08:29:00+00:00,DMU50_001,14.897,1025.06058,60.0
2026-03-01 08:30:00+00:00,DMU50_001,15.575,1025.32016,60.0
2026-03-01 08:31:00+00:00,DMU50_001,14.571,1025.56301,60.0
2026-03-01 08:32:00+00:00,DMU50_001,15.23,1025.81684,60.0
2026-03-01 08:33:00+00:00,DMU50_001,14.46,1026.05784,60.0
2026-03-01 08:34:00+00:00,DMU50_001,14.92,1026.30651,60.0
2026-03-01 08:35:00+00:00,DMU50_001,9.179,1026.45949,60.0
2026-03-01 08:36:00+00:00,DMU50_001,8.038,1026.59346,60.0
2026-03-01 08:37:00+00:00,DMU50_001,8.786,1026.73989,60.0
2026-03-01 08:38:00+00:00,DMU50_001,9.172,1026.89276,60.0
2026-03-01 08:39:00+00:00,DMU50_001,4.245,1026.96351,60.0
2026-03-01 08:40:00+00:00,DMU50_001,4.096,1027.03178,60.0
2026-03-01 08:41:00+00:00,DMU50_001,3.979,1027.0981,60.0
2026-03-01 08:42:00+00:00,DMU50_001,8.189,1027.23458,60.0
2026-03-01 08:43:00+00:00,DMU50_001,7.903,1027.3663,60.0
2026-03-01 08:44:00+00:00,DMU50_001,15.273,1027.62085,60.0
2026-03-01 08:45:00+00:00,DMU50_001,15.19,1027.87402,60.0
2026-03-01 08:46:00+00:00,DMU50_001,14.776,1028.12029,60.0
2026-03-01 08:47:00+00:00,DMU50_001,15.536,1028.37922,60.0
2026-03-01 08:48:00+00:00,DMU50_001,14.703,1028.62427,60.0
2026-03-01 08:49:00+00:00,DMU50_001,15.595,1028.88419,60.0
2026-03-01 08:50:00+00:00,DMU50_001,15.661,1029.14521,60.0
2026-03-01 08:51:00+00:00,DMU50_001,15.525,1029.40396,60.0
2026-03-01 08:52:00+00:00,DMU50_001,14.91,1029.65246,60.0
2026-03-01 08:53:00+00:00,DMU50_001,16.274,1029.92369,60.0
2026-03-01 08:54:00+00:00,DMU50_001,4.23,1029.99419,60.0
2026-03-01 08:55:00+00:00,DMU50_001,4.248,1030.06499,60.0
2026-03-01 08:56:00+00:00,DMU50_001,14.989,1030.31481,60.0
2026-03-01 08:57:00+00:00,DMU50_001,14.435,1030.55539,60.0
2026-03-01 08:58:00+00:00,DMU50_001,15.648,1030.81619,60.0
2026-03-01 08:59:00+00:00,DMU50_001,14.714,1031.06142,60.0
2026-03-01 09:00:00+00:00,DMU50_001,15.46,1031.31909,60.0
2026-03-01 09:01:00+00:00,DMU50_001,15.58,1031.57876,60.0
2026-03-01 09:02:00+00:00,DMU50_001,15.302,1031.83379,60.0
2026-03-01 09:03:00+00:00,DMU50_001,14.654,1032.07802,60.0
2026-03-01 09:04:00+00:00,DMU50_001,7.898,1032.20965,60.0
2026-03-01 09:05:00+00:00,DMU50_001,3.665,1032.27073,60.0
2026-03-01 09:06:00+00:00,DMU50_001,4.177,1032.34035,60.0
2026-03-01 09:07:00+00:00,DMU50_001,4.361,1032.41303,60.0
2026-03-01 09:08:00+00:00,DMU50_001,7.929,1032.54518,60.0
2026-03-01 09:09:00+00:00,DMU50_001,4.082,1032.61321,60.0
2026-03-01 09:10:00+00:00,DMU50_001,4.14,1032.68221,60.0
2026-03-01 09:11:00+00:00,DMU50_001,4.443,1032.75626,60.0
2026-03-01 09:12:00+00:00,DMU50_001,8.978,1032.90589,60.0
2026-03-01 09:13:00+00:00,DMU50_001,9.743,1033.06827,60.0
2026-03-01 09:14:00+00:00,DMU50_001,8.772,1033.21447,60.0
2026-03-01 09:15:00+00:00,DMU50_001,9.087,1033.36592,60.0
2026-03-01 09:16:00+00:00,DMU50_001,8.827,1033.51304,60.0
2026-03-01 09:17:00+00:00,DMU50_001,9.83,1033.67687,60.0
2026-03-01 09:18:00+00:00,DMU50_001,9.072,1033.82807,60.0
2026-03-01 09:19:00+00:00,DMU50_001,9.851,1033.99225,60.0
2026-03-01 09:20:00+00:00,DMU50_001,8.832,1034.13945,60.0
2026-03-01 09:21:00+00:00,DMU50_001,8.458,1034.28042,60.0
2026-03-01 09:22:00+00:00,DMU50_001,15.059,1034.5314,60.0
2026-03-01 09:23:00+00:00,DMU50_001,15.418,1034.78837,60.0
2026-03-01 09:24:00+00:00,DMU50_001,14.39,1035.0282,60.0
2026-03-01 09:25:00+00:00,DMU50_001,15.174,1035.2811,60.0
2026-03-01 09:26:00+00:00,DMU50_001,14.465,1035.52218,60.0
2026-03-01 09:27:00+00:00,DMU50_001,15.129,1035.77433,60.0
2026-03-01 09:28:00+00:00,DMU50_001,14.241,1036.01168,60.0
2026-03-01 09:29:00+00:00,DMU50_001,8.962,1036.16105,60.0
2026-03-01 09:30:00+00:00,DMU50_001,9.438,1036.31835,60.0
2026-03-01 09:31:00+00:00,DMU50_001,9.219,1036.472,60.0
2026-03-01 09:32:00+00:00,DMU50_001,8.506,1036.61377,60.0
2026-03-01 09:33:00+00:00,DMU50_001,8.241,1036.75112,60.0
2026-03-01 09:34:00+00:00,DMU50_001,8.149,1036.88694,60.0
2026-03-01 09:35:00+00:00,DMU50_001,9.632,1037.04747,60.0
2026-03-01 09:36:00+00:00,DMU50_001,8.614,1037.19104,60.0
2026-03-01 09:37:00+00:00,DMU50_001,9.839,1037.35502,60.0
2026-03-01 09:38:00+00:00,DMU50_001,8.997,1037.50497,60.0
2026-03-01 09:39:00+00:00,DMU50_001,8.217,1037.64192,60.0
2026-03-01 09:40:00+00:00,DMU50_001,8.376,1037.78152,60.0
2026-03-01 09:41:00+00:00,DMU50_001,9.308,1037.93665,60.0
2026-03-01 09:42:00+00:00,DMU50_001,8.039,1038.07063,60.0
2026-03-01 09:43:00+00:00,DMU50_001,15.741,1038.33298,60.0
2026-03-01 09:44:00+00:00,DMU50_001,14.401,1038.573,60.0
2026-03-01 09:45:00+00:00,DMU50_001,15.059,1038.82398,60.0
2026-03-01 09:46:00+00:00,DMU50_001,15.003,1039.07403,60.0
2026-03-01 09:47:00+00:00,DMU50_001,14.928,1039.32283,60.0
2026-03-01 09:48:00+00:00,DMU50_001,14.809,1039.56965,60.0
2026-03-01 09:49:00+00:00,DMU50_001,14.819,1039.81663,60.0
2026-03-01 09:50:00+00:00,DMU50_001,15.087,1040.06808,60.0
2026-03-01 09:51:00+00:00,DMU50_001,15.151,1040.3206,60.0
2026-03-01 09:52:00+00:00,DMU50_001,15.126,1040.5727,60.0
2026-03-01 09:53:00+00:00,DMU50_001,9.482,1040.73073,60.0
2026-03-01 09:54:00+00:00,DMU50_001,8.519,1040.87271,60.0
2026-03-01 09:55:00+00:00,DMU50_001,8.275,1041.01063,60.0
2026-03-01 09:56:00+00:00,DMU50_001,9.407,1041.16741,60.0
2026-03-01 09:57:00+00:00,DMU50_001,3.311,1041.22259,60.0
2026-03-01 09:58:00+00:00,DMU50_001,3.424,1041.27966,60.0
2026-03-01 09:59:00+00:00,DMU50_001,7.816,1041.40993,60.0
2026-03-01 10:00:00+00:00,DMU50_001,3.373,1041.46615,60.0
2026-03-01 10:01:00+00:00,DMU50_001,3.208,1041.51962,60.0
2026-03-01 10:02:00+00:00,DMU50_001,3.386,1041.57605,60.0
2026-03-01 10:03:00+00:00,DMU50_001,4.33,1041.64822,60.0
2026-03-01 10:04:00+00:00,DMU50_001,4.199,1041.7182,60.0
2026-03-01 10:05:00+00:00,DMU50_001,15.252,1041.9724,60.0
2026-03-01 10:06:00+00:00,DMU50_001,14.752,1042.21827,60.0
2026-03-01 10:07:00+00:00,DMU50_001,15.451,1042.47579,60.0
2026-03-01 10:08:00+00:00,DMU50_001,14.746,1042.72156,60.0
2026-03-01 10:09:00+00:00,DMU50_001,13.946,1042.95399,60.0
2026-03-01 10:10:00+00:00,DMU50_001,15.158,1043.20662,60.0
2026-03-01 10:11:00+00:00,DMU50_001,15.384,1043.46302,60.0
2026-03-01 10:12:00+00:00,DMU50_001,14.72,1043.70835,60.0
2026-03-01 10:13:00+00:00,DMU50_001,9.48,1043.86635,60.0
2026-03-01 10:14:00+00:00,DMU50_001,8.66,1044.01068,60.0
2026-03-01 10:15:00+00:00,DMU50_001,9.268,1044.16515,60.0
2026-03-01 10:16:00+00:00,DMU50_001,9.698,1044.32678,60.0
2026-03-01 10:17:00+00:00,DMU50_001,3.507,1044.38523,60.0
2026-03-01 10:18:00+00:00,DMU50_001,3.455,1044.44281,60.0
2026-03-01 10:19:00+00:00,DMU50_001,14.947,1044.69193,60.0
2026-03-01 10:20:00+00:00,DMU50_001,15.814,1044.9555,60.0
2026-03-01 10:21:00+00:00,DMU50_001,15.201,1045.20885,60.0
2026-03-01 10:22:00+00:00,DMU50_001,16.072,1045.47672,60.0
2026-03-01 10:23:00+00:00,DMU50_001,15.14,1045.72905,60.0
2026-03-01 10:24:00+00:00,DMU50_001,14.673,1045.9736,60.0
2026-03-01 10:25:00+00:00,DMU50_001,14.708,1046.21873,60.0
2026-03-01 10:26:00+00:00,DMU50_001,15.031,1046.46925,60.0
2026-03-01 10:27:00+00:00,DMU50_001,13.979,1046.70223,60.0
2026-03-01 10:28:00+00:00,DMU50_001,14.763,1046.94828,60.0
2026-03-01 10:29:00+00:00,DMU50_001,4.109,1047.01676,60.0
2026-03-01 10:30:00+00:00,DMU50_001,4.248,1047.08756,60.0
2026-03-01 10:31:00+00:00,DMU50_001,8.583,1047.23061,60.0
2026-03-01 10:32:00+00:00,DMU50_001,8.016,1047.36421,60.0
2026-03-01 10:33:00+00:00,DMU50_001,8.231,1047.50139,60.0
2026-03-01 10:34:00+00:00,DMU50_001,8.634,1047.64529,60.0
2026-03-01 10:35:00+00:00,DMU50_001,9.105,1047.79704,60.0
2026-03-01 10:36:00+00:00,DMU50_001,9.037,1047.94766,60.0
2026-03-01 10:37:00+00:00,DMU50_001,9.65,1048.10849,60.0
2026-03-01 10:38:00+00:00,DMU50_001,9.384,1048.26489,60.0
2026-03-01 10:39:00+00:00,DMU50_001,9.372,1048.42109,60.0
2026-03-01 10:40:00+00:00,DMU50_001,8.913,1048.56964,60.0
2026-03-01 10:41:00+00:00,DMU50_001,8.33,1048.70847,60.0
2026-03-01 10:42:00+00:00,DMU50_001,7.731,1048.83732,60.0
2026-03-01 10:43:00+00:00,DMU50_001,15.484,1049.09539,60.0
2026-03-01 10:44:00+00:00,DMU50_001,14.859,1049.34304,60.0
2026-03-01 10:45:00+00:00,DMU50_001,14.276,1049.58097,60.0
2026-03-01 10:46:00+00:00,DMU50_001,15.297,1049.83592,60.0
2026-03-01 10:47:00+00:00,DMU50_001,15.699,1050.09757,60.0
2026-03-01 10:48:00+00:00,DMU50_001,14.797,1050.34419,60.0
2026-03-01 10:49:00+00:00,DMU50_001,15.781,1050.60721,60.0
2026-03-01 10:50:00+00:00,DMU50_001,14.172,1050.84341,60.0
2026-03-01 10:51:00+00:00,DMU50_001,8.521,1050.98543,60.0
2026-03-01 10:52:00+00:00,DMU50_001,8.941,1051.13445,60.0
2026-03-01 10:53:00+00:00,DMU50_001,8.852,1051.28198,60.0
2026-03-01 10:54:00+00:00,DMU50_001,8.733,1051.42753,60.0
2026-03-01 10:55:00+00:00,DMU50_001,3.527,1051.48631,60.0
2026-03-01 10:56:00+00:00,DMU50_001,3.394,1051.54288,60.0
2026-03-01 10:57:00+00:00,DMU50_001,3.428,1051.60001,60.0
2026-03-01 10:58:00+00:00,DMU50_001,15.139,1051.85233,60.0
2026-03-01 10:59:00+00:00,DMU50_001,14.666,1052.09676,60.0
2026-03-01 11:00:00+00:00,DMU50_001,14.947,1052.34588,60.0
2026-03-01 11:01:00+00:00,DMU50_001,14.677,1052.5905,60.0
2026-03-01 11:02:00+00:00,DMU50_001,14.397,1052.83045,60.0
2026-03-01 11:03:00+00:00,DMU50_001,15.382,1053.08682,60.0
2026-03-01 11:04:00+00:00,DMU50_001,9.683,1053.2482,60.0
2026-03-01 11:05:00+00:00,DMU50_001,9.426,1053.4053,60.0
2026-03-01 11:06:00+00:00,DMU50_001,9.133,1053.55752,60.0
2026-03-01 11:07:00+00:00,DMU50_001,8.743,1053.70324,60.0
2026-03-01 11:08:00+00:00,DMU50_001,3.443,1053.76062,60.0
2026-03-01 11:09:00+00:00,DMU50_001,3.711,1053.82247,60.0
2026-03-01 11:10:00+00:00,DMU50_001,3.044,1053.8732,60.0
2026-03-01 11:11:00+00:00,DMU50_001,14.818,1054.12017,60.0
2026-03-01 11:12:00+00:00,DMU50_001,15.367,1054.37629,60.0
2026-03-01 11:13:00+00:00,DMU50_001,14.431,1054.61681,60.0
2026-03-01 11:14:00+00:00,DMU50_001,15.212,1054.87034,60.0
2026-03-01 11:15:00+00:00,DMU50_001,15.188,1055.12347,60.0
2026-03-01 11:16:00+00:00,DMU50_001,14.273,1055.36135,60.0
2026-03-01 11:17:00+00:00,DMU50_001,15.043,1055.61207,60.0
2026-03-01 11:18:00+00:00,DMU50_001,14.691,1055.85692,60.0
2026-03-01 11:19:00+00:00,DMU50_001,15.208,1056.11039,60.0
2026-03-01 11:20:00+00:00,DMU50_001,9.268,1056.26486,60.0
2026-03-01 11:21:00+00:00,DMU50_001,3.58,1056.32453,60.0
2026-03-01 11:22:00+00:00,DMU50_001,3.515,1056.38311,60.0
2026-03-01 11:23:00+00:00,DMU50_001,3.558,1056.44241,60.0
2026-03-01 11:24:00+00:00,DMU50_001,3.265,1056.49683,60.0
2026-03-01 11:25:00+00:00,DMU50_001,3.494,1056.55506,60.0
2026-03-01 11:26:00+00:00,DMU50_001,14.602,1056.79843,60.0
2026-03-01 11:27:00+00:00,DMU50_001,15.516,1057.05703,60.0
2026-03-01 11:28:00+00:00,DMU50_001,15.342,1057.31273,60.0
2026-03-01 11:29:00+00:00,DMU50_001,15.34,1057.5684,60.0
2026-03-01 11:30:00+00:00,DMU50_001,15.857,1057.83268,60.0
2026-03-01 11:31:00+00:00,DMU50_001,14.835,1058.07993,60.0
2026-03-01 11:32:00+00:00,DMU50_001,14.725,1058.32535,60.0
2026-03-01 11:33:00+00:00,DMU50_001,8.859,1058.473,60.0
2026-03-01 11:34:00+00:00,DMU50_001,8.359,1058.61232,60.0
2026-03-01 11:35:00+00:00,DMU50_001,8.391,1058.75217,60.0
2026-03-01 11:36:00+00:00,DMU50_001,4.324,1058.82424,60.0
2026-03-01 11:37:00+00:00,DMU50_001,3.921,1058.88959,60.0
2026-03-01 11:38:00+00:00,DMU50_001,3.985,1058.95601,60.0
2026-03-01 11:39:00+00:00,DMU50_001,8.959,1059.10533,60.0
2026-03-01 11:40:00+00:00,DMU50_001,8.835,1059.25258,60.0
2026-03-01 11:41:00+00:00,DMU50_001,9.354,1059.40848,60.0
2026-03-01 11:42:00+00:00,DMU50_001,9.024,1059.55888,60.0
2026-03-01 11:43:00+00:00,DMU50_001,8.681,1059.70356,60.0
2026-03-01 11:44:00+00:00,DMU50_001,9.389,1059.86004,60.0
2026-03-01 11:45:00+00:00,DMU50_001,9.292,1060.01491,60.0
2026-03-01 11:46:00+00:00,DMU50_001,8.436,1060.15551,60.0
2026-03-01 11:47:00+00:00,DMU50_001,8.076,1060.29011,60.0
2026-03-01 11:48:00+00:00,DMU50_001,7.785,1060.41986,60.0
2026-03-01 11:49:00+00:00,DMU50_001,8.703,1060.56491,60.0
2026-03-01 11:50:00+00:00,DMU50_001,9.748,1060.72738,60.0
2026-03-01 11:51:00+00:00,DMU50_001,9.05,1060.87821,60.0
2026-03-01 11:52:00+00:00,DMU50_001,8.913,1061.02676,60.0
2026-03-01 11:53:00+00:00,DMU50_001,9.034,1061.17733,60.0
2026-03-01 11:54:00+00:00,DMU50_001,9.35,1061.33316,60.0
2026-03-01 11:55:00+00:00,DMU50_001,8.719,1061.47848,60.0
2026-03-01 11:56:00+00:00,DMU50_001,8.788,1061.62495,60.0
2026-03-01 11:57:00+00:00,DMU50_001,8.197,1061.76157,60.0
2026-03-01 11:58:00+00:00,DMU50_001,7.545,1061.88732,60.0
2026-03-01 11:59:00+00:00,DMU50_001,4.398,1061.96062,60.0
2026-03-01 12:00:00+00:00,DMU50_001,3.879,1062.02527,60.0
2026-03-01 12:01:00+00:00,DMU50_001,3.451,1062.08279,60.0
2026-03-01 12:02:00+00:00,DMU50_001,3.18,1062.13579,60.0
2026-03-01 12:03:00+00:00,DMU50_001,14.472,1062.37699,60.0
2026-03-01 12:04:00+00:00,DMU50_001,15.649,1062.63781,60.0
2026-03-01 12:05:00+00:00,DMU50_001,15.522,1062.89651,60.0
